"OrigZoneNo","DestZoneNo","HBU_PA"
8219,"8253",143.433555669574
8220,"8253",121.022062596203
8237,"8253",159.868650590046
8222,"8253",70.2226782965623
8223,"8253",23.9055926115957
8224,"8253",22.411493073371
8225,"8253",34.3642893791688
8242,"8253",13.4468958440226
8228,"8253",7.47049769112365
8229,"8253",34.3642893791688
8245,"8253",162.856849666496
8235,"8253",100.104669061057
8236,"8253",7.47049769112365
8201,"8253",100.104669061057
8202,"8253",1.49409953822473
8203,"8253",7.47049769112365
8204,"8253",4.48229861467419
8227,"8253",26.8937916880452
8206,"8253",7.47049769112365
8212,"8253",7.47049769112365
8205,"8253",17.9291944586968
8230,"8253",13.4468958440226
8214,"8380",22.411493073371
8241,"8380",158.374551051821
8261,"8380",92.6341713699333
8239,"8380",252.502821959979
8327,"8380",31.3760903027193
8309,"8380",62.7521806054387
8387,"8380",94.128270908158
8399,"8380",19.4232939969215
8377,"8380",17.9291944586968
8398,"8380",5.97639815289892
8331,"8380",406.395074397127
8339,"8380",31.3760903027193
8366,"8380",404.900974858902
8357,"8380",502.01744484351
8385,"8380",5.97639815289892
8396,"8380",28.3878912262699
8354,"8380",49.3052847614161
8381,"8380",267.443817342227
8365,"8380",19.4232939969215
8344,"8380",135.963057978451
8369,"8380",68.7285787583376
8361,"8380",165.845048742945
8372,"8380",28.3878912262699
8373,"8380",77.693175987686
8378,"8380",50.7993842996408
8379,"8380",47.8111852231914
8380,"8380",170.327347357619
8386,"8380",17.9291944586968
8368,"8380",572.240123140072
8384,"8380",46.3170856849667
8371,"8380",61.258081067214
8390,"8380",107.575166752181
8395,"8380",46.3170856849666
8392,"8380",209.173935351462
8389,"8380",62.7521806054387
8394,"8380",5.97639815289892
8382,"8380",67.2344792201129
8397,"8380",240.550025654182
8358,"8380",59.7639815289892
8353,"8380",76.1990764494613
8343,"8380",73.2108773730118
8345,"8380",34.3642893791688
8325,"8380",62.7521806054387
8347,"8380",43.3288866085172
8375,"8380",116.539763981529
8349,"8380",50.7993842996408
8333,"8380",53.7875833760903
8352,"8380",58.2698819907645
8374,"8380",20.9173935351462
8367,"8380",98.6105695228322
8341,"8380",106.081067213956
8356,"8380",47.8111852231914
8348,"8380",141.939456131349
8359,"8380",70.2226782965624
8346,"8380",13.4468958440226
8363,"8380",37.3524884556183
8337,"8380",35.8583889173935
8362,"8380",77.693175987686
8330,"8380",23.9055926115957
8318,"8380",34.3642893791688
